0,m1911_zm
1,python_zm
2,cz75_zm
3,g11_lps_zm
4,famas_zm
5,spectre_zm
6,cz75dw_zm
7,spas_zm
8,hs10_zm
9,aug_acog_zm
10,galil_zm
11,commando_zm
12,fnfal_zm
13,dragunov_zm
14,l96a1_zm
15,rpk_zm
16,hk21_zm
17,m72_law_zm
18,china_lake_zm
19,zombie_cymbal_monkey
20,crossbow_explosive_zm
21,knife_ballistic_zm
22,knife_ballistic_bowie_zm
23,m1911_upgraded_zm
24,python_upgraded_zm
25,cz75_upgraded_zm
26,g11_lps_upgraded_zm
27,famas_upgraded_zm
28,spectre_upgraded_zm
29,cz75dw_upgraded_zm
30,spas_upgraded_zm
31,hs10_upgraded_zm
32,aug_acog_mk_upgraded_zm
33,galil_upgraded_zm
34,commando_upgraded_zm
35,fnfal_upgraded_zm
36,dragunov_upgraded_zm
37,l96a1_upgraded_zm
38,rpk_upgraded_zm
39,hk21_upgraded_zm
40,m72_law_upgraded_zm
41,china_lake_upgraded_zm
42,crossbow_explosive_upgraded_zm
43,knife_ballistic_upgraded_zm
44,knife_ballistic_bowie_upgraded_zm
45,zombie_kar98k
46,zombie_kar98k_upgraded
47,zombie_m1carbine
48,zombie_m1carbine_upgraded
49,zombie_gewehr43
50,zombie_gewehr43_upgraded
51,zombie_stg44
52,zombie_stg44_upgraded
53,zombie_thompson
54,zombie_thompson_upgraded
55,mp40_zm
56,mp40_upgraded_zm
57,zombie_type100_smg
58,zombie_type100_smg_upgraded
59,stielhandgranate
50,zombie_doublebarrel
51,zombie_doublebarrel_upgraded
52,zombie_shotgun
53,zombie_shotgun_upgraded
54,zombie_fg42
55,zombie_fg42_upgraded
56,ray_gun_zm
57,ray_gun_upgraded_zm
58,tesla_gun_zm
59,tesla_gun_upgraded_zm
60,zombie_cymbal_monkey
61,mine_bouncing_betty
