0,m1911_zm
1,python_zm
2,cz75_zm
3,g11_lps_zm
4,famas_zm
5,spectre_zm
6,cz75dw_zm
7,spas_zm
8,hs10_zm
9,aug_acog_zm
10,galil_zm
11,commando_zm
12,fnfal_zm
13,dragunov_zm
14,l96a1_zm
15,rpk_zm
16,hk21_zm
17,m72_law_zm
18,china_lake_zm
19,zombie_cymbal_monkey
20,ray_gun_zm
21,crossbow_explosive_zm
22,knife_ballistic_zm
23,zombie_kar98k
24,stielhandgranate
25,zombie_gewehr43
26,zombie_m1garand
27,zombie_thompson
28,zombie_shotgun
29,mp40_zm
30,zombie_bar_bipod
31,zombie_stg44
32,zombie_doublebarrel
33,zombie_doublebarrel_sawed
34,zombie_cymbal_monkey
35,freezegun_zm
36,m1911_upgraded_zm
37,mine_bouncing_betty
